station,datetime,snow.water.eq.inches
19L01,1930-03-30,0
19L01,1931-04-01,0
19L01,1932-03-31,8.6
19L01,1933-03-30,12.7
19L01,1934-03-30,0
19L01,1935-03-29,9.9
19L01,1936-03-27,15.6
19L01,1937-02-28,14
19L01,1937-04-01,10.1
19L01,1938-02-28,15.6
19L01,1938-03-31,21.9
19L01,1938-05-01,8.8
19L01,1939-03-04,8
19L01,1939-03-31,1.6
19L01,1940-02-02,7.7
19L01,1940-03-03,10.7
19L01,1940-03-31,3.4
19L01,1941-02-01,7.8
19L01,1941-03-01,9.6
19L01,1941-03-30,4.1
19L01,1942-02-01,9.1
19L01,1942-02-28,13
19L01,1942-03-31,10.8
19L01,1943-01-30,4.6
19L01,1943-03-01,5.6
19L01,1943-03-30,2.4
19L01,1944-02-27,8.8
19L01,1944-04-03,6.5
19L01,1945-04-01,10.2
19L01,1946-03-10,10
19L01,1946-04-19,1.7
19L01,1947-03-31,0.6
19L01,1948-02-29,0.6
19L01,1948-04-02,2.7
19L01,1948-05-01,0
19L01,1949-02-26,13.6
19L01,1949-04-03,13.6
19L01,1950-02-25,13.8
19L01,1950-04-03,13.2
19L01,1951-02-02,5.5
19L01,1951-03-03,5.8
19L01,1951-03-31,0.6
19L01,1952-02-03,22
19L01,1952-03-01,26
19L01,1952-03-29,29.2
19L01,1953-01-31,11.4
19L01,1953-03-28,10.2
19L01,1954-02-02,5.3
19L01,1954-02-26,8.4
19L01,1954-04-03,6.7
19L01,1955-01-27,8.6
19L01,1955-03-02,9.4
19L01,1955-03-30,4
19L01,1956-02-28,12.3
19L01,1956-04-03,5.6
19L01,1957-01-30,7.7
19L01,1957-02-27,7
19L01,1957-04-01,2.9
19L01,1958-02-25,10.7
19L01,1958-03-28,15
19L01,1958-04-30,5.3
19L01,1959-02-26,8.3
19L01,1959-03-31,0.8
19L01,1960-01-28,3.8
19L01,1960-03-03,6.9
19L01,1960-03-31,0.6
19L01,1961-02-01,3.1
19L01,1961-02-28,2.9
19L01,1961-03-29,3.1
19L01,1962-01-31,5.1
19L01,1962-02-27,13.6
19L01,1962-03-27,18.3
19L01,1962-12-28,2.8
19L01,1963-01-03,0
19L01,1963-01-30,0
19L01,1963-02-27,0
19L01,1963-03-28,1.4
19L01,1963-05-01,0.8
19L01,1964-01-29,7.6
19L01,1964-02-26,7.1
